id,account_id,counterparty_id,date,amount,currency,flow_direction,description,gl_code,data_source,record_type
tx_oecd_HKG_NTR_BB_2021_352,acc_hkg_NTR_BB,gov_hkg,2021-01-01,80433.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2021_353,acc_hkg_NTR_E,gov_hkg,2021-01-01,7619.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2021_354,acc_hkg_NTR_B,gov_hkg,2021-01-01,103309.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2021_355,acc_hkg_TOTALNONTAX,gov_hkg,2021-01-01,266433.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2022_356,acc_hkg_TOTALNONTAX,gov_hkg,2022-01-01,217012.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2022_357,acc_hkg_NTR_B,gov_hkg,2022-01-01,119185.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2022_358,acc_hkg_NTR_C,gov_hkg,2022-01-01,80613.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2022_359,acc_hkg_NTR_D,gov_hkg,2022-01-01,2370.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BB_2022_360,acc_hkg_NTR_BB,gov_hkg,2022-01-01,93301.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BB,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_E_2022_361,acc_hkg_NTR_E,gov_hkg,2022-01-01,14844.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_E,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2022_362,acc_hkg_NTR_BA,gov_hkg,2022-01-01,25884.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_TOTALNONTAX_2023_363,acc_hkg_TOTALNONTAX,gov_hkg,2023-01-01,151218.0,HKD,inbound,Tax revenue: Non-tax revenue,TOTALNONTAX,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_B_2023_364,acc_hkg_NTR_B,gov_hkg,2023-01-01,101501.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_B,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_BA_2023_365,acc_hkg_NTR_BA,gov_hkg,2023-01-01,26551.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_BA,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_C_2023_366,acc_hkg_NTR_C,gov_hkg,2023-01-01,31189.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_C,OECD_CTP,tax_revenue
tx_oecd_HKG_NTR_D_2023_367,acc_hkg_NTR_D,gov_hkg,2023-01-01,1965.0,HKD,inbound,Tax revenue: Non-tax revenue,NTR_D,OECD_CTP,tax_revenue
